"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"maj";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"jaja kurze świeże - za 1szt";"cena";"2018";0,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pomarańcze - za 1kg";"cena";"2018";5,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"cebula - za 1 kg";"cena";"2018";2,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"czekolada mleczna - za 100g";"cena";"2018";4,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";27,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";4,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"jaja kurze świeże - za 1szt";"cena";"2018";0,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pomarańcze - za 1kg";"cena";"2018";6,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2018";2,54;"zł";"";
