"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";25,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";25,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2014";16,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2015";16,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2014";1,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2015";1,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2014";0,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2015";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2014";5,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2015";5,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2014";2,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2015";1,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2014";3,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2015";3,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";26,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";28,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2014";4,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2015";4,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";25,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";24,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona - za 1kg";"cena";"2014";16,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona - za 1kg";"cena";"2015";15,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2014";1,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2015";1,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2014";0,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2015";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2014";4,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2015";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2014";2,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2015";1,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2014";3,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2015";3,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";26,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";28,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2014";4,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2015";4,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";25,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";24,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kiełbasa wędzona - za 1kg";"cena";"2014";17,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kiełbasa wędzona - za 1kg";"cena";"2015";15,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2014";1,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2015";1,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2014";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2015";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2014";4,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2015";4,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cebula - za 1 kg";"cena";"2014";2,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cebula - za 1 kg";"cena";"2015";1,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2014";3,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2015";3,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";27,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";27,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2014";4,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2015";4,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"szynka wieprzowa gotowana - za 1kg";"cena";"2014";25,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"szynka wieprzowa gotowana - za 1kg";"cena";"2015";24,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kiełbasa wędzona - za 1kg";"cena";"2014";17,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kiełbasa wędzona - za 1kg";"cena";"2015";15,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2014";1,80;"zł";"";
