"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2006";21,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2007";21,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2006";11,49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona - za 1kg";"cena";"2007";11,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2006";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2007";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2006";0,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2007";0,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2006";1,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2007";2,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2006";3,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2007";3,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";19,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2006";2,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2007";2,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2006";20,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2007";21,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona - za 1kg";"cena";"2006";11,65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona - za 1kg";"cena";"2007";11,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2006";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2007";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2006";0,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2007";0,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2006";1,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2007";2,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2006";3,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2007";3,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";19,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";19,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2006";2,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2007";2,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2006";20,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2007";20,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kiełbasa wędzona - za 1kg";"cena";"2006";11,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kiełbasa wędzona - za 1kg";"cena";"2007";11,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2006";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 ml";"cena";"2007";1,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2006";0,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2007";0,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cebula - za 1 kg";"cena";"2006";1,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cebula - za 1 kg";"cena";"2007";2,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2006";3,10;"zł";"";
