"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";28,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";19,20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2019";5,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"cebula - za 1 kg";"cena";"2019";3,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2019";4,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";27,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";27,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2019";5,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"cebula - za 1 kg";"cena";"2019";3,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2019";3,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";28,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2019";5,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"cebula - za 1 kg";"cena";"2019";3,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2019";3,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";28,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";19,65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2019";5,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2019";3,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"czekolada mleczna - za 100g";"cena";"2019";4,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";29,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";19,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pomarańcze - za 1kg";"cena";"2019";5,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"cebula - za 1 kg";"cena";"2019";4,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"czekolada mleczna - za 100g";"cena";"2019";4,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pomarańcze - za 1kg";"cena";"2019";5,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2019";5,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"czekolada mleczna - za 100g";"cena";"2019";4,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";4,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pomarańcze - za 1kg";"cena";"2019";5,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"cebula - za 1 kg";"cena";"2019";5,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"czekolada mleczna - za 100g";"cena";"2019";4,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"pomarańcze - za 1kg";"cena";"2019";6,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"cebula - za 1 kg";"cena";"2019";4,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"czekolada mleczna - za 100g";"cena";"2019";4,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"pomarańcze - za 1kg";"cena";"2019";6,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2019";3,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"czekolada mleczna - za 100g";"cena";"2019";4,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"wrzesień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"pomarańcze - za 1kg";"cena";"2019";6,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"cebula - za 1 kg";"cena";"2019";3,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"czekolada mleczna - za 100g";"cena";"2019";4,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";26,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"październik";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";20,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";2,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"pomarańcze - za 1kg";"cena";"2019";6,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"cebula - za 1 kg";"cena";"2019";3,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"czekolada mleczna - za 100g";"cena";"2019";4,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";27,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"listopad";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";31,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";21,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"pomarańcze - za 1kg";"cena";"2019";6,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"cebula - za 1 kg";"cena";"2019";3,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"czekolada mleczna - za 100g";"cena";"2019";4,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";27,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"grudzień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";5,02;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";29,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,70;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2019";5,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"cebula - za 1 kg";"cena";"2019";3,03;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"czekolada mleczna - za 100g";"cena";"2019";4,01;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,88;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";29,79;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"styczeń";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";3,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";29,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,96;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"pomarańcze - za 1kg";"cena";"2019";4,89;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"cebula - za 1 kg";"cena";"2019";3,65;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"czekolada mleczna - za 100g";"cena";"2019";4,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";29,79;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"luty";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";3,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";29,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,44;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,86;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2019";5,18;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2019";3,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"czekolada mleczna - za 100g";"cena";"2019";3,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";29,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";3,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";30,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";18,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2019";5,29;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2019";3,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"czekolada mleczna - za 100g";"cena";"2019";3,94;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,95;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";29,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2019";3,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"szynka wieprzowa gotowana - za 1kg";"cena";"2019";31,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"kiełbasa wędzona (2) - za 1kg";"cena";"2019";19,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2019";1,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"jaja kurze świeże (chów wolnowybiegowy) - za 1szt";"cena";"2019";0,90;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"pomarańcze - za 1kg";"cena";"2019";5,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2019";4,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"czekolada mleczna - za 100g";"cena";"2019";3,89;"zł";"";
